,summary,Impacts,Mitigation,Hazard,Causes,word
werd+en weiblich+e,12.632367785375779,-0.010011284104432779,-0.005949999412002477,0.004301057662959817,0.013438640249366004,werd+en weiblich+e
weiblich+e opfer,11.50782653075861,-0.00963595518911731,-0.007262111116104437,0.004600349651199763,0.014320837280217092,weiblich+e opfer
ge+borg+en mann+er,9.712333258459786,-0.008894725659943118,-0.009789619270411394,0.005170890177500162,0.015998536211885118,ge+borg+en mann+er
mann+er dürf+en,9.399514623867406,-0.00874203217578075,-0.010299722250734656,0.005285039264416186,0.01633352694028998,mann+er dürf+en
dürf+en haut+kontakt,8.879455135948795,-0.008468400775363608,-0.011204848972839297,0.005486730829265948,0.01692485522524021,dürf+en haut+kontakt
haut+kontakt frau+en,8.96198749981931,-0.008513606027714334,-0.011056111218454828,0.0054536630854452785,0.016827956480178943,haut+kontakt frau+en
barbarisches,8.963981288278768,-0.008514689384736792,-0.01105254282912556,0.005452869383706407,0.016825630441318976,barbarisches
wie barbarisch+es,8.963981288278768,-0.008514689384736792,-0.01105254282912556,0.005452869383706407,0.016825630441318976,wie barbarisch+es
barbarisch+es regime,9.379961377510744,-0.00873220614159788,-0.01033242472716713,0.0052923455567584436,0.01635496066989192,barbarisch+es regime
regime unter+stütz+en,8.231716811089921,-0.008087127117651744,-0.012446938009784003,0.0057616907830056975,0.017729784003822736,regime unter+stütz+en
unters…,4.683770604075305,-0.004424395635048906,-0.023348824452921125,0.008078093540968827,0.02444789793092875,unters…
regime unters…,4.683770604075305,-0.004424395635048906,-0.023348824452921125,0.008078093540968827,0.02444789793092875,regime unters…
unters… char+s,4.607622966992128,-0.004289489743938964,-0.0237191352662645,0.008153603711122115,0.02466479460849876,unters… char+s
"5,2 erschütter+t",8.3303878578875,-0.00814846245773101,-0.01224861363554867,0.005717931098224748,0.017601775649381778,"5,2 erschütter+t"
griechenland epizentrum,7.836747430621715,-0.07360540551910637,-0.08056589562032895,0.1868326034863754,-0.04714397374135295,griechenland epizentrum
bekanntem,8.59208011581496,-0.013909634679067352,-0.017463863726977006,0.022864571587824165,0.011699066819958887,bekanntem
epizentrum bekenn+t+em,8.59208011581496,-0.013909634679067352,-0.017463863726977006,0.022864571587824165,0.011699066819958887,epizentrum bekenn+t+em
Badeort,14.353365321897146,-0.015751250120987447,-0.00958059227705517,0.020121707638190107,0.007043901192612279,Badeort
bekenn+t+em bad+e+ort,10.127637318617548,-0.009085258482153207,-0.009148046913220388,0.005026837114757074,0.015575461160222692,bekenn+t+em bad+e+ort
bad+e+ort ein,13.064578599703893,-0.010141681854544345,-0.005489129892764521,0.0041954530342199845,0.013127029274824927,bad+e+ort ein
